"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-21092016-091377";"";
"REFERENCE";"6212";"";
"TraceParts.PartTitle";"Single row deep groove ball bearing, Bore Ø 60 mm, Outside Ø 110 mm";"";
"TraceParts.InstanceId";"10-21092016-091377EF73IOIQKB48XCAMEJYBF67MP";"";
"SUPPLIER";"SKF";"";
"DESIGN";"Single row deep groove ball bearing, Bore Ø 60 mm, Outside Ø 110 mm";"";
"TraceParts.PartVersion";"1.3.2";"";
"TraceParts.PartLanguage";"en";"";
"MASS";"0.78";"";
