"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-21092016-091377";"";
"REFERENCE";"6006";"";
"TraceParts.PartTitle";"Single row deep groove ball bearing, Bore Ø 30 mm, Outside Ø 55 mm";"";
"TraceParts.InstanceId";"10-21092016-0913772M47BE3CF7B17QTP9Y2QDB5X1";"";
"SUPPLIER";"SKF";"";
"DESIGN";"Single row deep groove ball bearing, Bore Ø 30 mm, Outside Ø 55 mm";"";
"TraceParts.PartVersion";"1.3.2";"";
"TraceParts.PartLanguage";"en";"";
"MASS";"0.117";"";
