"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-21092016-091377";"";
"REFERENCE";"6206";"";
"TraceParts.PartTitle";"Single row deep groove ball bearing, Bore Ø 30 mm, Outside Ø 62 mm";"";
"TraceParts.InstanceId";"10-21092016-091377EDWVWGUMOEPNU81P3FSC0N1N6";"";
"SUPPLIER";"SKF";"";
"DESIGN";"Single row deep groove ball bearing, Bore Ø 30 mm, Outside Ø 62 mm";"";
"TraceParts.PartVersion";"1.3.2";"";
"TraceParts.PartLanguage";"en";"";
"MASS";"0.199";"";
